,id,name,latitude,longitude,primary_category,popularity_rating
84,5b1854154a7aae002cbe8e62,Aba,41.886852162003066,-87.64888478200851,Mediterranean Restaurant,11
85,4cc5b207c844721eb395f001,Maude's Liquor Bar,41.884465069792995,-87.64891837305171,French Restaurant,
86,4a08f159f964a52028741fe3,The Publican,41.88671904771414,-87.6488304749241,New American Restaurant,
87,59278d15da2e0026b1e8a065,Beatrix,41.88683275273073,-87.64895495261544,New American Restaurant,13
88,55b42cdb498e6093d451d365,Bar Siena,41.8846905,-87.6488274,Italian Restaurant,
89,548f607b498e7c9be549f4cb,The Izakaya,41.885832716333645,-87.64857404188218,Japanese Restaurant,
90,5d027eefad5f630050add575,Boqueria,41.88667521226699,-87.6478796011516,Tapas Restaurant,
91,4a53bc01f964a520abb21fe3,Carnivale,41.88690920342862,-87.64619594627351,Latin American Restaurant,
92,5e2fc6820af4890008de55a4,Recess,41.889435368541555,-87.64947295188902,Restaurant,
93,4197f180f964a520181e1fe3,Avec,41.88450370096197,-87.64346655892965,New American Restaurant,15
94,4a94b02df964a520532220e3,Piccolo Sogno,41.89085242143617,-87.64769816506221,Italian Restaurant,
95,56f091c8498e0070cb34e43a,St Lou's Assembly,41.885984190791625,-87.64563890693017,New American Restaurant,
96,577ea4a0498ea60dacc357d8,El Che Bar,41.88312768932183,-87.64905835481485,Restaurant,
97,526728db11d293604832307d,The Dawson,41.89113194583443,-87.64741092705734,New American Restaurant,
98,52f2d55411d24f3791a9943b,Tanoshii,41.88458314541095,-87.64657663264171,Sushi Restaurant,
99,593f22ccfe37404c1ad6f0ad,Proxi,41.88435990450063,-87.6425493523614,New American Restaurant,
100,49dcd38ff964a520a95f1fe3,Sepia,41.883969387636014,-87.64266632976728,New American Restaurant,
101,59f24ee8178a2a3eed77233b,Bellemore,41.88443233863242,-87.64257119487489,New American Restaurant,
102,4bd3825f046076b09b4c7671,Santorini,41.87928858215841,-87.64735055201292,Greek Restaurant,
103,4c1a50a0b9f876b0ea6f7846,MetroKlub (Kosher),41.881238898597246,-87.64707507703244,American Restaurant,
104,5766bff3498ebe1c9b367c47,The Oyster Bar at Mariano's,41.880558013916016,-87.64745330810547,Seafood Restaurant,
105,4f9c9968e4b0e9595b3cfaff,Chez Moi,41.92010196337485,-87.6486748096262,French Restaurant,
106,4a74ca32f964a5209bdf1fe3,Sapori Trattoria,41.93155567353209,-87.64880730181682,Italian Restaurant,
107,4adcf41bf964a520d96221e3,Tarascas International,41.93001471635925,-87.64323512364138,Mexican Restaurant,
108,5668d4fb498eede0b65b1841,Quality Crab & Oyster Bah,41.91791150374446,-87.64855368742121,Seafood Restaurant,
109,5952e3120336937901437793,Blue Door Farm Stand,41.91845335069251,-87.64854487473374,New American Restaurant,
110,5832529f9900e64a56be3eca,Kie-Gol-Lanee,41.97359455060917,-87.6549701507825,Mexican Restaurant,
111,49f0c67ff964a52056691fe3,Anna Maria Pasteria,41.96167907317609,-87.66618701619926,Italian Restaurant,
112,4a1dd042f964a520997b1fe3,Wakamono,41.942447756504954,-87.64450447304807,Sushi Restaurant,
113,50ff4074e4b0a270f9b44316,Milt's Barbecue for the Perplexed,41.943704747327395,-87.64499751312442,BBQ Joint,
114,5932195afdb9a77bd8a3b372,Daisies,41.92722309355669,-87.70418640280162,New American Restaurant,
115,5f6cd1de4cff341d5040aa3f,Gretel,41.91748,-87.698216,New American Restaurant,
116,4a6de13ef964a5203ad31fe3,Tango Sur,41.95078161592034,-87.66414579060837,Argentinian Restaurant,
117,56a42f6a498e42e6074b741a,Grassroots,41.95035336958251,-87.66402961445867,New American Restaurant,
